name,price,link
Tom Ford," ,€ 575, ,€ 499, ,€ 499, ,€ 835, ,€ 325",/int/en/men/tom-ford-slim-fit-jeans-blue-p00487047
Tom Ford," ,€ 635, ,€ 499, ,€ 499, ,€ 835",/int/en/men/tom-ford-slim-fit-jeans-blue-p00487047
Acne Studios," ,€ 565, ,€ 229, ,€ 535, ,€ 379, ,€ 379",/int/en/men/acne-studios-checked-wool-blend-scarf-multicoloured-p00882224
Gucci," ,€ 825, ,€ 635, ,€ 315, ,€ 635",/int/en/men/gucci-jordaan-leather-loafers-black-p00436217
The Row," ,€ 1,269, ,€ 895, ,€ 2,959, ,€ 3,919",/int/en/men/the-row-sailor-leather-loafers-black-p00727110
Tom Ford," ,€ 665, ,€ 499",/int/en/men/tom-ford-slim-fit-jeans-blue-p00487047
Amiri," ,€ 649, ,€ 649",/int/en/men/amiri-ma-1-leather-and-mesh-sneakers-grey-p00893404
Loewe," ,€ 635, ,€ 1,555, ,€ 635",/int/en/men/loewe-puzzle-fold-large-suede-tote-bag-blue-p00875888
Valentino Garavani," ,€ 1,685, ,€ 749, ,€ 1,685",/int/en/men/valentino-garavani-rockstud-essential-leather-loafers-black-p00882635
Tom Ford," ,€ 575, ,€ 249, ,€ 174, ,€ 499, ,€ 835, ,€ 499",/int/en/men/tom-ford-aviator-acetate-sunglasses-black-p00734782
Tom Ford," ,€ 575, ,€ 499",/int/en/men/tom-ford-slim-fit-jeans-blue-p00487047
Brunello Cucinelli," ,€ 499, ,€ 715, ,€ 549, ,€ 1,935",/int/en/men/brunello-cucinelli-low-top-leather-sneakers-white-p00738277
Amiri," ,€ 955, ,€ 699, ,€ 499",/int/en/men/amiri-shotgun-distressed-wide-leg-jeans-blue-p00900617
Burberry," ,€ 665, ,€ 695",/int/en/men/burberry-straight-wool-blend-pants-blue-p00818431
Zegna," ,€ 375, ,€ 749, ,€ 749",/int/en/men/zegna-triple-stitch-leather-sneakers-with-concealed-laces-neutrals-p00480287
